数据1	数据2	数据3	数据4	所属簇ID	
1	5.56614	7.49271	0.440885	0
1	12.8091	6.30438	0.353872	1
1	13.8495	5.24046	0.022757	1
1	18.2762	6.19282	-0.12568	2
3	17.312	5.07515	0.71175	3
3	19.1329	4.3323	0.53118	3
1	12.5753	9.57164	2.86388	噪声点
1	17.8885	7.74455	1.5692	4
1	6.16413	10.5488	1.237	0
1	20.7098	7.61646	1.83765	3
3	22.9656	6.15026	1.19751	3
1	19.6825	5.90654	0.69546	3
1	8.90563	8.44241	0.7592	1
1	10.7799	7.82742	1.13828	1
3	21.6118	6.09382	1.57976	3
1	2.96221	11.7926	2.15429	5
1	11.3147	11.0613	2.9944	噪声点
1	15.9701	9.93736	0.876906	1
1	4.25487	5.1986	-0.10884	0
3	5.03725	5.87687	-0.0195	噪声点
3	11.8152	4.84356	-1.74875	6
3	12.4186	6.36043	-2.03614	噪声点
3	20.2647	3.84332	0.392606	3
2	20.0388	5.87415	0.906606	3
1	12.2811	8.32536	0.740354	1
1	15.1348	6.84185	1.71708	1
1	2.6922	11.3281	-0.21118	噪声点
3	22.0907	6.01278	0.754579	3
1	11.227	9.55197	0.434897	1
1	16.527	10.5061	3.22411	噪声点
1	11.9341	13.8477	3.59339	噪声点
1	16.4519	8.51868	1.46879	1
1	21.3351	6.55044	0.450907	3
2	10.1956	3.38728	0.989323	噪声点
1	5.67021	6.09047	1.07223	0
1	8.34862	4.11839	-0.15703	0
3	13.8156	2.7079	-1.47097	6
3	15.3788	3.09499	-0.16968	3
3	19.785	4.19763	-0.29328	3
3	14.9837	5.45614	-0.15168	噪声点
3	17.8261	2.20993	-0.15331	3
1	5.096	6.1205	0.675782	0
1	10.2876	7.68377	0.911839	1
1	12.4888	4.586	0.511565	7
3	9.13018	3.44267	-1.04119	8
3	20.0425	3.6994	0.871018	3
3	16.4188	3.15844	-0.6401	3
3	20.7933	2.87282	0.014128	3
1	4.38978	6.09466	-0.49037	0
1	6.90168	5.59539	-0.43688	0
1	1.82855	5.83164	-0.35396	噪声点
1	5.63512	7.26618	-0.97187	0
3	20.2717	4.27152	0.881894	3
3	14.1549	4.72473	0.999354	噪声点
3	17.6877	4.04505	0.530785	3
3	16.7426	4.90869	0.199107	3
1	3.62339	8.21547	0.211548	0
1	13.2094	5.64056	-0.50451	1
1	3.80818	4.6386	1.52865	噪声点
3	20.1235	4.5769	0.043361	3
3	4.72478	2.89684	-0.23321	噪声点
3	11.8666	3.93295	-1.52073	6
1	16.4701	8.56369	1.23501	1
1	16.488	8.00591	3.11575	噪声点
3	19.7763	5.30231	1.05924	3
3	15.3734	6.33389	1.10136	9
3	19.4246	4.6693	0.033996	3
3	9.21339	8.08406	1.45283	噪声点
3	9.21606	4.10356	-0.33476	8
3	14.9427	7.01847	0.886526	9
2	20.7459	6.47024	-0.27125	3
1	12.021	7.8114	-0.59762	1
1	5.18572	9.04959	1.37232	0
1	13.1457	6.76782	-0.22883	1
1	17.7321	6.21559	0.9235	2
3	21.9016	5.0231	1.40625	3
2	18.2422	5.20644	0.72593	3
1	5.64283	7.47925	0.265223	0
1	12.459	6.74522	-0.70058	1
1	10.8692	6.56225	-0.08945	1
1	4.84377	6.14884	0.589041	0
1	4.50263	7.43403	0.603681	0
1	13.9379	5.61287	1.02078	1
3	21.8315	5.38439	0.466055	3
1	4.89173	10.0756	1.08247	0
1	8.22865	4.93337	0.544805	0
3	20.7995	3.18225	-0.14682	3
3	13.1115	3.91741	-1.45506	6
3	15.4183	2.62429	-0.82649	3
3	16.8996	3.72663	-0.48009	3
1	4.77753	6.048	1.96155	0
1	10.8257	8.28888	0.443301	1
1	10.2948	5.24599	1.73928	10
1	8.87943	7.87065	1.58356	1
1	15.5494	6.36073	1.0599	1
3	18.9943	4.74798	1.05521	3
2	19.6641	5.45176	0.242859	3
1	15.3382	7.55352	1.50605	1
1	16.1632	5.06156	1.36407	1
1	6.25743	8.50032	0.682544	0
1	7.68026	9.86836	1.5529	1
1	10.7657	5.55185	2.97668	10
3	20.5641	5.5048	0.552189	3
1	6.36843	11.1032	2.3073	0
3	19.434	6.80289	1.77367	3
3	16.9698	5.08181	0.524103	3
3	22.5387	3.47616	0.904787	3
1	11.1007	6.79587	1.88142	1
1	15.4456	5.24969	0.869122	1
1	5.88436	11.5451	2.85487	0
1	12.5516	8.79739	1.35139	1
1	18.0016	7.68039	1.78882	4
1	19.8098	7.06362	0.957591	3
3	21.6941	5.30006	0.842485	3
